City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Leshukonskoye,RU,2021-10-11 21:56:03,64.8989,45.7622,43.3,96,96,7.4
132,Bredasdorp,ZA,2021-10-11 21:56:03,-34.5322,20.0403,58.3,84,100,3.24
133,Anaconda,US,2021-10-11 21:56:04,46.1285,-112.9423,31.96,88,100,11.81
134,Lasa,IT,2021-10-11 21:56:04,46.6166,10.7002,43.63,68,100,6.17
135,Esperance,AU,2021-10-11 21:56:04,-33.8667,121.9,44.44,67,92,27.96
136,Poum,NC,2021-10-11 21:56:05,-20.2333,164.0167,75.4,75,90,15.28
137,Srednekolymsk,RU,2021-10-11 21:56:05,67.45,153.6833,12.81,88,100,4.27
138,Woodland,US,2021-10-11 21:55:37,38.6785,-121.7733,71.98,21,1,14.0
139,Saint-Joseph,RE,2021-10-11 21:56:06,-21.3667,55.6167,72.21,92,81,6.6
140,Severnyy,RU,2021-10-11 21:56:07,50.677,36.5532,41.04,70,0,4.47
141,East London,ZA,2021-10-11 21:56:07,-33.0153,27.9116,69.42,55,63,4.43
142,Acarau,BR,2021-10-11 21:56:07,-2.8856,-40.12,79.7,80,7,17.76
143,Khulo,GE,2021-10-11 21:56:08,41.644,42.3129,48.6,57,15,4.97
144,Kaitangata,NZ,2021-10-11 21:56:09,-46.2817,169.8464,44.04,81,98,16.67
145,Nikolskoye,RU,2021-10-11 21:56:09,59.7035,30.7861,42.87,71,55,8.68
146,Atbasar,KZ,2021-10-11 21:56:10,51.8,68.3333,31.26,58,31,7.02
147,Sapele,NG,2021-10-11 21:56:10,5.8941,5.6767,77.02,93,61,3.09
148,Sistranda,NO,2021-10-11 21:56:11,63.7256,8.834,47.89,70,84,18.59
149,Avera,US,2021-10-11 21:56:11,33.194,-82.5271,77.76,61,100,3.53
150,Bonthe,SL,2021-10-11 21:56:12,7.5264,-12.505,78.21,87,100,5.97
151,Carutapera,BR,2021-10-11 21:56:12,-1.195,-46.02,79.84,75,45,9.75
152,Zhangjiakou,CN,2021-10-11 21:54:19,40.81,114.8794,42.19,49,0,2.53
153,Buldana,IN,2021-10-11 21:56:13,20.5333,76.1833,72.64,74,45,2.53
154,Wukari,NG,2021-10-11 21:56:14,7.85,9.7833,76.95,82,53,5.17
155,Norrtalje,SE,2021-10-11 21:56:14,59.758,18.705,45.01,87,100,4.29
156,Kavieng,PG,2021-10-11 21:56:15,-2.5744,150.7967,83.28,71,31,8.88
157,Kahului,US,2021-10-11 21:56:15,20.8947,-156.47,78.96,96,16,12.24
158,Loa Janan,ID,2021-10-11 21:56:16,-0.583,117.095,74.91,96,100,3.11
159,Del Rio,US,2021-10-11 21:55:50,29.3627,-100.8968,88.2,22,1,13.8
160,Chuy,UY,2021-10-11 21:56:17,-33.6971,-53.4616,60.26,95,100,14.56
161,Carnarvon,AU,2021-10-11 21:56:17,-24.8667,113.6333,60.87,63,75,21.85
162,San Francisco,US,2021-10-11 21:56:10,37.7749,-122.4194,73.11,33,20,5.99
163,Nurota,UZ,2021-10-11 21:56:18,40.5614,65.6886,39.29,34,0,7.94
164,Hammerfest,NO,2021-10-11 21:56:18,70.6634,23.6821,43.25,93,75,9.22
165,Zyryanka,RU,2021-10-11 21:56:19,65.75,150.85,18.99,75,100,3.98
166,Harper,LR,2021-10-11 21:56:19,4.375,-7.7169,78.15,86,94,6.26
167,Vao,NC,2021-10-11 21:56:20,-22.6667,167.4833,71.42,71,98,14.5
168,Deputatskiy,RU,2021-10-11 21:56:20,69.3,139.9,20.8,97,100,2.21
169,Bridlington,GB,2021-10-11 21:52:16,54.0831,-0.1919,54.28,80,100,14.47
170,Tondano,ID,2021-10-11 21:56:21,1.3038,124.9112,66.29,92,90,2.91
171,Mayo,US,2021-10-11 21:56:21,38.8876,-76.5119,69.44,84,100,5.99
172,Ostrovnoy,RU,2021-10-11 21:56:22,68.0531,39.5131,47.75,87,100,22.64
173,Creston,US,2021-10-11 21:56:22,41.0586,-94.3614,74.53,67,75,11.5
174,Jiexiu,CN,2021-10-11 21:56:23,37.0244,111.9125,49.35,71,92,2.44
175,Mnogovershinnyy,RU,2021-10-11 21:56:23,53.9353,139.9242,33.93,80,1,8.93
176,Nouadhibou,MR,2021-10-11 21:56:24,20.931,-17.0347,67.98,88,0,14.97
177,Mogadishu,SO,2021-10-11 21:53:37,2.0371,45.3438,77.95,85,94,15.77
178,Stanisic,RS,2021-10-11 21:56:25,45.94,19.1653,48.06,93,100,6.73
179,Svetlyy,RU,2021-10-11 21:56:25,54.675,20.1347,44.65,87,15,13.76
180,Kabalo,CD,2021-10-11 21:56:26,-6.05,26.9167,75.69,73,83,6.53
181,Flores,GT,2021-10-11 21:56:26,16.9226,-89.8994,92.5,49,25,2.64
182,Hasaki,JP,2021-10-11 21:56:27,35.7333,140.8333,70.29,89,100,19.01
183,Torbay,CA,2021-10-11 21:56:27,47.6666,-52.7314,51.28,92,90,4.61
184,Cap Malheureux,MU,2021-10-11 21:56:28,-19.9842,57.6142,74.46,86,84,4.0
185,Ankang,CN,2021-10-11 21:56:28,32.68,109.0172,53.28,81,98,2.68
186,Dawei,MM,2021-10-11 21:56:29,14.0833,98.2,76.28,94,99,3.42
187,Ponta Do Sol,PT,2021-10-11 21:56:29,32.6667,-17.1,72.23,66,72,5.28
188,Leningradskiy,RU,2021-10-11 21:56:29,69.3833,178.4167,13.32,91,26,5.61
189,Sitka,US,2021-10-11 21:56:30,57.0531,-135.33,45.07,85,100,10.96
190,Laguna,US,2021-10-11 21:56:30,38.421,-121.4238,72.1,22,1,11.01
191,Peddapalli,IN,2021-10-11 21:56:31,18.6167,79.3667,71.04,73,86,3.38
192,Bengkulu,ID,2021-10-11 21:56:31,-3.8004,102.2655,75.02,87,91,3.71
193,Saint George,US,2021-10-11 21:56:28,37.1041,-113.5841,73.63,18,100,10.0
194,Cayenne,GF,2021-10-11 21:56:32,4.9333,-52.3333,84.24,84,20,3.0
195,Tucurui,BR,2021-10-11 21:56:33,-3.7661,-49.6725,87.66,50,98,3.65
196,Santa Maria,BR,2021-10-11 21:56:33,-29.6842,-53.8069,70.9,78,40,4.61
197,Bambous Virieux,MU,2021-10-11 21:56:34,-20.3428,57.7575,74.21,94,40,4.61
198,Rafai,CF,2021-10-11 21:56:34,4.95,23.9167,68.56,100,94,0.98
199,Kasba,IN,2021-10-11 21:56:34,25.85,87.55,76.96,81,0,5.73
200,Montijo,PT,2021-10-11 21:56:35,38.7067,-8.9739,76.59,47,0,11.5
201,Beaverlodge,CA,2021-10-11 21:56:36,55.2166,-119.4361,47.55,35,9,6.06
202,Tuktoyaktuk,CA,2021-10-11 21:56:36,69.4541,-133.0374,30.2,86,90,3.44
203,Formosa,AR,2021-10-11 21:51:39,-26.1775,-58.1781,82.38,51,20,9.22
204,Mount Gambier,AU,2021-10-11 21:56:37,-37.8333,140.7667,40.91,87,56,6.91
205,Emirdag,TR,2021-10-11 21:56:37,39.0197,31.15,59.7,48,10,1.95
206,Coquimbo,CL,2021-10-11 21:56:38,-29.9533,-71.3436,60.53,67,0,12.66
207,Sinegorye,RU,2021-10-11 21:56:38,62.0788,150.477,14.94,77,100,4.38
208,Vostok,RU,2021-10-11 21:56:39,46.4856,135.8833,35.35,76,0,2.91
209,Kavaratti,IN,2021-10-11 21:56:39,10.5669,72.642,81.45,82,100,22.21
210,Katsuura,JP,2021-10-11 21:56:39,35.1333,140.3,73.18,91,53,14.83
211,Hualmay,PE,2021-10-11 21:56:40,-11.0964,-77.6139,65.26,80,60,12.1
212,Mananjary,MG,2021-10-11 21:56:40,-21.2167,48.3333,69.71,92,98,9.42
213,Dunedin,NZ,2021-10-11 21:54:50,-45.8742,170.5036,44.8,74,100,20.0
214,Srivardhan,IN,2021-10-11 21:56:41,18.0333,73.0167,78.96,87,99,4.14
215,Champasak,LA,2021-10-11 21:56:41,14.75,106.0,72.63,100,100,1.14
216,Gizo,SB,2021-10-11 21:56:42,-8.103,156.8419,81.95,76,84,3.76
217,Pangnirtung,CA,2021-10-11 21:56:43,66.1451,-65.7125,33.8,93,75,4.61
218,Zabol,AF,2021-10-11 21:56:43,32.25,67.25,45.72,21,0,4.52
219,Karaton,ID,2021-10-11 21:56:44,-6.3424,106.1045,77.16,91,55,4.54
220,Alofi,NU,2021-10-11 21:56:44,-19.0595,-169.9187,76.89,73,40,11.5
221,Sobolevo,RU,2021-10-11 21:56:59,54.4299,31.8996,38.91,80,98,6.49
222,Itapicuru,BR,2021-10-11 21:56:59,-11.3167,-38.2333,76.17,81,9,14.67
223,Gisborne,NZ,2021-10-11 21:57:00,-38.6533,178.0042,54.36,82,100,14.9
224,Upington,ZA,2021-10-11 21:57:00,-28.4478,21.2561,75.58,29,0,8.05
225,Upernavik,GL,2021-10-11 21:57:01,72.7868,-56.1549,33.76,98,100,15.64
226,Mamontovo,RU,2021-10-11 21:57:02,52.7055,81.6244,32.54,83,100,10.45
227,Komsomolskiy,UZ,2021-10-11 21:57:04,40.4272,71.7189,44.02,45,0,1.81
228,Magistralnyy,RU,2021-10-11 21:57:04,56.1725,107.4458,30.47,91,100,6.93
229,Burnie,AU,2021-10-11 21:57:04,-41.0667,145.9167,48.94,87,95,10.98
230,Nador,MA,2021-10-11 21:57:05,35.174,-2.9287,70.05,78,75,11.5
231,Flin Flon,CA,2021-10-11 21:57:05,54.7682,-101.865,49.84,71,90,8.05
232,Gold Coast,AU,2021-10-11 21:57:06,-28.0,153.4333,65.17,95,90,1.99
233,Sao Filipe,CV,2021-10-11 21:57:06,14.8961,-24.4956,79.9,73,3,8.59
234,Mutis,CO,2021-10-11 21:57:07,6.2262,-77.4044,80.06,84,72,5.1
235,Kangaatsiaq,GL,2021-10-11 21:57:07,68.3065,-53.4641,32.5,75,100,11.5
236,Saint Anthony,US,2021-10-11 21:57:08,45.0205,-93.218,71.19,53,90,3.0
237,Beringovskiy,RU,2021-10-11 21:57:08,63.05,179.3167,24.17,89,84,1.45
238,Garcia,MX,2021-10-11 21:57:09,25.8167,-100.5833,97.66,52,8,7.54
239,Muros,ES,2021-10-11 21:57:09,42.7762,-9.0603,61.84,77,13,8.68
240,Greifswald,DE,2021-10-11 21:57:09,54.1,13.3833,53.11,83,51,14.54
241,Moose Factory,CA,2021-10-11 21:57:10,51.2585,-80.6094,64.4,100,90,11.5
242,Luderitz,NA,2021-10-11 21:57:10,-26.6481,15.1594,69.85,42,0,6.04
243,Ust-Tsilma,RU,2021-10-11 21:57:11,65.441,52.1498,37.96,99,100,4.12
244,Raga,SS,2021-10-11 21:57:12,8.4596,25.678,70.23,92,100,4.59
245,San Ignacio,BZ,2021-10-11 21:57:12,17.1561,-89.0714,93.34,55,20,4.61
246,Zhigansk,RU,2021-10-11 21:57:13,66.7697,123.3711,21.99,93,100,13.31
247,Sal Rei,CV,2021-10-11 21:57:13,16.1833,-22.9167,77.56,78,5,16.22
248,Andenes,NO,2021-10-11 21:57:14,69.3143,16.1194,44.58,76,20,18.41
249,Rosetta,EG,2021-10-11 21:57:14,31.4044,30.4164,74.62,77,13,10.07
250,Airai,TL,2021-10-11 21:57:15,-8.9266,125.4092,61.93,79,81,2.28
251,Puranpur,IN,2021-10-11 21:57:15,28.5167,80.15,71.82,75,21,1.63
252,Nambucca Heads,AU,2021-10-11 21:57:16,-30.65,153.0,62.6,87,100,16.8
253,Isangel,VU,2021-10-11 21:57:16,-19.55,169.2667,78.91,69,20,9.22
254,Coahuayana,MX,2021-10-11 21:57:17,18.7333,-103.6833,86.81,70,63,5.88
255,Pacific Grove,US,2021-10-11 21:57:17,36.6177,-121.9166,71.58,65,0,8.99
256,Lockport,US,2021-10-11 21:57:18,41.5895,-88.0578,70.99,95,90,6.91
257,Tasiilaq,GL,2021-10-11 21:57:18,65.6145,-37.6368,27.23,69,48,5.93
258,Nishihara,JP,2021-10-11 21:57:19,26.1842,127.7558,78.46,89,75,9.22
259,Darnah,LY,2021-10-11 21:57:19,32.767,22.6367,72.95,76,2,12.44
260,Deogarh,IN,2021-10-11 21:57:20,21.5333,84.7333,74.41,84,89,2.1
261,Alexandria,EG,2021-10-11 21:52:24,31.2156,29.9553,75.56,74,1,10.02
262,Savalou,BJ,2021-10-11 21:57:21,7.9281,1.9756,79.86,77,63,3.49
263,Yanam,IN,2021-10-11 21:57:21,16.7333,82.2167,76.42,87,79,2.68
264,Klaksvik,FO,2021-10-11 21:57:22,62.2266,-6.589,41.92,70,100,9.15
265,Sioux Lookout,CA,2021-10-11 21:57:02,50.1001,-91.917,59.07,94,90,9.22
266,Khasan,RU,2021-10-11 21:57:23,42.4308,130.6434,49.51,66,0,6.42
267,Mao,ES,2021-10-11 21:57:24,39.8885,4.2658,59.56,63,0,10.36
268,Bonfim,BR,2021-10-11 21:57:24,3.0833,-59.95,93.15,70,94,0.69
269,Nanortalik,GL,2021-10-11 21:57:24,60.1432,-45.2371,39.34,55,100,0.74
